Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,1.0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426.0,0.0,No,13,3.0,3,1.0,6.0,4.5,3,5.0,4.0,0.0,3.0
29,1.0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193.0,0.0,Yes,12,3.0,4,0.0,10.0,3.0,3,9.0,5.0,0.0,8.0
31,1.0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911.0,1.0,No,17,3.0,4,1.0,5.0,1.0,2,5.0,2.0,4.0,3.0
34,1.0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661.0,0.0,No,11,3.0,3,1.0,3.0,2.0,3,2.0,2.0,1.0,2.0
28,1.0,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028.0,5.0,Yes,14,3.0,2,0.0,6.0,4.0,3,4.0,2.0,0.0,3.0
29,1.0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980.0,1.0,No,11,3.0,3,1.0,10.0,1.0,3,10.0,9.0,7.5,8.0
32,1.0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298.0,0.0,Yes,12,3.0,4,2.0,7.0,4.5,2,6.0,2.0,0.0,5.0
22,1.0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935.0,1.0,Yes,13,3.0,2,2.0,1.0,2.0,2,1.0,0.0,0.0,0.0
53,1.0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427.0,2.0,No,16,3.0,3,0.0,28.5,3.0,3,18.0,8.0,3.0,7.0
38,1.0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944.0,5.0,Yes,11,3.0,3,0.0,6.0,3.0,3,3.0,2.0,1.0,2.0
24,1.0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011.0,0.0,No,18,3.0,4,1.0,5.0,4.5,2,4.0,2.0,1.0,3.0
36,1.0,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407.0,7.0,No,23,3.0,2,0.0,10.0,4.0,3,5.0,3.0,0.0,3.0
34,1.0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994.0,0.0,No,11,3.0,3,0.0,13.0,4.0,3,12.0,6.0,2.0,11.0
21,1.0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232.0,1.0,No,14,3.0,4,0.0,0.0,4.5,3,0.0,0.0,0.0,0.0
34,1.0,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960.0,2.0,No,11,3.0,3,0.0,8.0,2.0,3,4.0,2.0,1.0,3.0
53,1.0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,16581.0,4.0,No,11,3.0,4,1.0,26.0,3.0,2,14.0,13.0,4.0,8.0
32,1.0,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919.0,1.0,Yes,22,3.0,2,0.0,10.0,4.5,3,10.0,2.0,6.0,7.0
42,1.0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825.0,0.0,No,11,3.0,4,1.0,10.0,2.0,3,9.0,7.0,4.0,2.0
44,1.0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248.0,3.0,No,14,3.0,4,1.0,24.0,4.0,3,18.0,6.0,5.0,14.5
46,1.0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,16581.0,3.0,No,12,3.0,4,0.0,22.0,2.0,2,2.0,2.0,2.0,1.0
33,1.0,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496.0,4.0,No,11,3.0,4,0.0,7.0,3.0,3,1.0,1.0,0.0,0.0
44,1.0,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465.0,2.0,Yes,13,3.0,4,0.0,9.0,4.5,4,4.0,2.0,1.0,3.0
30,1.0,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206.0,1.0,No,13,3.0,1,0.0,10.0,4.5,3,10.0,0.0,1.0,8.0
39,1.0,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086.0,3.0,No,14,3.0,3,1.0,19.0,4.5,4,1.0,0.0,0.0,0.0
24,1.0,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293.0,2.0,Yes,16,3.0,1,1.0,6.0,2.0,2,2.0,0.0,2.0,0.0
43,1.0,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645.0,1.0,No,12,3.0,4,2.0,6.0,3.0,2,5.0,3.0,1.0,4.0
50,1.0,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683.0,1.0,Yes,14,3.0,3,0.0,3.0,2.0,3,3.0,2.0,0.0,2.0
35,1.0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014.0,1.0,No,13,3.0,1,0.0,2.0,3.0,3,2.0,2.0,2.0,2.0
36,1.0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419.0,8.5,Yes,14,3.0,4,1.0,6.0,3.0,4,1.0,1.0,0.0,0.0
33,1.0,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376.0,2.0,No,19,3.0,1,2.0,10.0,3.0,3,5.0,3.0,1.0,3.0
35,1.0,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951.0,1.0,No,12,3.0,3,1.0,1.0,3.0,3,1.0,0.0,0.0,0.0
27,1.0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341.0,1.0,No,13,3.0,4,1.0,1.0,4.5,3,1.0,0.0,0.0,0.0
26,1.0,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293.0,1.0,No,12,3.0,3,0.0,1.0,2.0,2,1.0,0.0,0.0,1.0
27,1.0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726.0,1.0,No,15,3.0,4,0.0,9.0,0.5,3,9.0,8.0,1.0,7.0
30,1.0,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011.0,1.0,No,23,3.0,4,0.0,12.0,2.0,3,12.0,8.0,3.0,7.0
41,1.0,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,16581.0,1.0,No,12,3.0,4,0.0,23.0,0.5,3,18.0,14.5,7.5,8.0
34,1.0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568.0,0.0,No,20,3.0,3,0.0,10.0,2.0,3,9.0,5.0,7.5,7.0
37,1.0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022.0,4.0,No,21,3.0,1,0.0,8.0,1.0,3,1.0,0.0,0.0,0.0
46,1.0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772.0,4.0,Yes,21,3.0,3,0.0,14.0,4.0,3,9.0,6.0,0.0,8.0
35,1.0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269.0,1.0,No,19,3.0,4,0.0,1.0,2.0,3,1.0,0.0,0.0,1.0
48,1.0,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381.0,8.5,Yes,13,3.0,4,0.0,23.0,2.0,3,1.0,0.0,0.0,0.0
28,1.0,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441.0,1.0,Yes,13,3.0,3,0.0,2.0,3.0,2,2.0,2.0,2.0,2.0
44,1.0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454.0,5.0,Yes,21,3.0,3,1.0,9.0,2.0,2,4.0,3.0,1.0,3.0
35,1.0,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884.0,2.0,Yes,13,3.0,3,1.0,10.0,3.0,3,4.0,0.0,2.0,3.0
26,1.0,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157.0,7.0,Yes,19,3.0,3,1.0,5.0,2.0,2,2.0,2.0,0.0,0.0
33,1.0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458.0,1.0,Yes,12,3.0,3,0.0,15.0,1.0,3,15.0,14.0,7.5,12.0
35,1.0,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069.0,1.0,No,22,3.0,4,1.0,9.0,3.0,2,9.0,8.0,1.0,8.0
35,1.0,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014.0,3.0,Yes,15,3.0,3,1.0,4.0,3.0,3,2.0,2.0,2.0,2.0
31,1.0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915.0,3.0,No,22,3.0,4,1.0,10.0,3.0,2,7.0,7.0,1.0,7.0
37,1.0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993.0,1.0,No,18,3.0,3,1.0,7.0,2.0,4,7.0,5.0,0.0,7.0
32,1.0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162.0,1.0,Yes,22,3.0,2,1.0,9.0,3.0,3,9.0,8.0,7.0,8.0
38,1.0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406.0,1.0,No,11,3.0,4,0.0,10.0,2.0,3,10.0,3.0,7.5,9.0
50,1.0,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,16581.0,5.0,Yes,12,3.0,4,1.0,28.5,2.0,2,18.0,3.0,7.5,8.0
59,1.0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637.0,7.0,No,11,3.0,4,0.0,28.0,3.0,2,18.0,14.5,7.0,9.0
36,1.0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096.0,1.0,No,13,3.0,2,2.5,17.0,2.0,3,17.0,14.0,7.5,8.0
55,1.0,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756.0,2.0,Yes,14,3.0,3,2.5,21.0,2.0,3,5.0,0.0,0.0,2.0
36,1.0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499.0,1.0,No,13,3.0,3,0.0,6.0,3.0,3,6.0,5.0,0.0,3.0
45,1.0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724.0,2.0,No,17,3.0,3,1.0,25.0,2.0,3,1.0,0.0,0.0,0.0
35,1.0,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194.0,4.0,No,13,3.0,4,1.0,5.0,2.0,2,3.0,2.0,1.0,2.0
36,1.0,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388.0,0.0,Yes,17,3.0,1,1.0,2.0,0.5,2,1.0,0.0,0.0,0.0
59,1.0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473.0,7.0,No,11,3.0,4,0.0,20.0,2.0,2,4.0,3.0,1.0,3.0
29,1.0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703.0,0.0,No,23,3.0,4,1.0,6.0,3.0,3,5.0,4.0,0.0,4.0
31,1.0,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501.0,1.0,No,17,3.0,2,0.0,1.0,4.0,3,1.0,1.0,1.0,0.0
32,1.0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220.0,1.0,No,17,3.0,2,2.0,10.0,3.0,3,10.0,4.0,0.0,9.0
36,1.0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038.0,3.0,No,12,3.0,2,0.0,5.0,3.0,3,1.0,0.0,0.0,0.0
31,1.0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424.0,1.0,No,23,3.0,4,0.0,11.0,2.0,3,11.0,7.0,1.0,8.0
35,1.0,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312.0,0.0,No,14,3.0,2,0.0,16.0,2.0,3,15.0,13.0,2.0,8.0
45,1.0,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245.0,4.0,Yes,14,3.0,2,0.0,17.0,3.0,4,0.0,0.0,0.0,0.0
37,1.0,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664.0,4.0,No,13,3.0,1,0.0,16.0,3.0,4,5.0,2.0,0.0,2.0
46,1.0,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021.0,8.0,Yes,22,3.0,4,1.0,16.0,2.0,3,4.0,2.0,0.0,2.0
30,1.0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126.0,1.0,Yes,12,3.0,3,2.0,10.0,1.0,2,10.0,8.0,3.0,0.0
35,1.0,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859.0,1.0,No,18,3.0,1,0.0,6.0,3.0,3,6.0,4.0,0.0,4.0
55,1.0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239.0,3.0,No,14,3.0,4,1.0,24.0,4.0,3,1.0,0.0,1.0,0.0
38,1.0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329.0,7.0,Yes,12,3.0,4,2.5,17.0,3.0,3,13.0,11.0,1.0,9.0
34,1.0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325.0,1.0,No,15,3.0,3,0.0,5.0,2.0,3,5.0,2.0,1.0,3.0
56,1.0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260.0,4.0,No,11,3.0,1,0.0,28.5,3.0,2,6.0,4.0,0.0,2.0
23,1.0,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322.0,3.0,No,13,3.0,3,1.0,3.0,3.0,3,0.0,0.0,0.0,0.0
51,1.0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075.0,3.0,No,23,3.0,2,2.0,10.0,4.0,3,4.0,2.0,0.0,3.0
30,1.0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152.0,1.0,No,19,3.0,1,2.5,11.0,3.0,3,11.0,10.0,7.5,8.0
46,1.0,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619.0,1.0,No,16,3.0,4,0.0,9.0,3.0,3,9.0,8.0,4.0,7.0
40,1.0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503.0,1.0,No,22,3.0,4,1.0,22.0,3.0,2,18.0,3.0,7.5,11.0
51,1.0,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441.0,0.0,Yes,22,3.0,4,0.0,11.0,2.0,1,10.0,7.0,1.0,0.0
30,1.0,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209.0,1.0,Yes,12,3.0,2,2.5,11.0,4.0,2,11.0,8.0,2.0,7.0
46,1.0,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673.0,2.0,Yes,13,3.0,3,1.0,21.0,4.5,2,10.0,9.0,7.5,5.0
32,1.0,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010.0,1.0,No,16,3.0,1,0.0,12.0,0.5,3,11.0,8.0,5.0,7.0
54,1.0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549.0,8.5,No,12,3.0,1,1.0,16.0,4.5,1,4.0,3.0,0.0,3.0
24,1.0,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999.0,0.0,No,21,3.0,1,1.0,4.0,2.0,2,3.0,2.0,0.0,2.0
28,1.0,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221.0,1.0,No,15,3.0,2,0.0,5.0,3.0,4,5.0,4.0,0.0,4.0
58,1.0,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,13872.0,0.0,No,13,3.0,3,0.0,28.5,1.0,2,18.0,10.0,1.0,8.0
44,1.0,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042.0,4.0,No,12,3.0,3,1.0,17.0,3.0,4,3.0,2.0,1.0,2.0
37,1.0,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073.0,4.0,Yes,22,3.0,4,0.0,7.0,3.0,3,3.0,2.0,0.0,2.0
32,1.0,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,2956.0,1.0,No,13,3.0,4,0.0,1.0,2.0,3,1.0,0.0,0.0,0.0
20,1.0,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926.0,1.0,Yes,18,3.0,2,0.0,1.0,4.5,3,1.0,0.0,1.0,0.0
34,1.0,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,4809.0,1.0,No,14,3.0,3,0.0,16.0,3.0,3,16.0,13.0,2.0,10.0
37,1.0,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163.0,5.0,No,14,3.0,4,1.0,17.0,2.0,4,1.0,0.0,0.0,0.0
59,1.0,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,16581.0,8.5,No,21,3.0,4,1.0,28.5,3.0,3,3.0,2.0,2.0,2.0
50,1.0,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,16581.0,3.0,Yes,19,3.0,1,0.0,28.0,1.0,2,8.0,3.0,0.0,7.0
25,1.0,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,5744.0,1.0,Yes,11,3.0,4,0.0,6.0,1.0,3,6.0,4.0,0.0,3.0
25,1.0,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,2889.0,1.0,No,11,3.0,3,2.0,2.0,2.0,3,2.0,2.0,2.0,1.0
22,1.0,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,2871.0,1.0,No,15,3.0,3,0.0,1.0,4.5,3,0.0,0.0,0.0,0.0
51,1.0,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,7484.0,3.0,No,20,3.0,3,0.0,23.0,1.0,2,13.0,12.0,7.5,8.0
34,1.0,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,6074.0,1.0,Yes,24,3.0,4,0.0,9.0,3.0,3,9.0,7.0,0.0,6.0
54,1.0,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,16581.0,2.0,Yes,12,3.0,3,0.0,23.0,3.0,3,5.0,3.0,4.0,4.0
24,1.0,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,2774.0,0.0,No,12,3.0,3,1.0,6.0,2.0,3,5.0,3.0,1.0,2.0
34,1.0,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,4505.0,6.0,No,15,3.0,3,1.0,12.0,3.0,3,1.0,0.0,0.0,0.0
37,1.0,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,7428.0,2.0,No,12,3.0,1,0.0,12.0,3.0,3,5.0,3.0,1.0,3.0
34,1.0,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631.0,2.0,No,12,3.0,4,0.0,14.0,4.5,3,11.0,10.0,5.0,8.0
36,1.0,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,9738.0,0.0,No,14,3.0,3,1.0,10.0,4.5,3,9.0,7.0,2.0,8.0
36,1.0,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835.0,5.0,No,22,3.0,1,1.0,7.0,2.0,3,1.0,0.0,0.0,0.0
43,1.0,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,16581.0,1.0,Yes,12,3.0,4,2.0,25.0,3.0,4,18.0,12.0,4.0,12.0
30,1.0,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2613.0,1.0,No,25,3.0,3,2.5,10.0,2.0,2,10.0,7.0,0.0,9.0
33,1.0,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,6146.0,0.0,No,13,3.0,1,1.0,8.0,2.0,4,7.0,7.0,0.0,7.0
56,1.0,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,4963.0,8.5,Yes,18,3.0,1,2.5,7.0,2.0,3,5.0,4.0,4.0,3.0
51,1.0,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,16581.0,7.0,No,13,3.0,3,0.0,23.0,4.5,3,18.0,14.5,7.5,14.5
31,1.0,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172.0,4.0,Yes,18,3.0,2,0.0,12.0,3.0,2,7.0,7.0,7.0,7.0
26,1.0,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,2368.0,1.0,No,19,3.0,3,0.0,5.0,3.0,2,5.0,4.0,4.0,3.0
58,1.0,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,10312.0,1.0,No,12,3.0,4,1.0,28.5,3.0,2,18.0,10.0,7.5,6.0
